c,widths
400,100.16671048349622
450,100.1775533724511
500,100.18569477622863
550,100.2268281210254
600,100.22695175553903
650,100.24232790999407
700,100.2266519063163
750,100.20017138301546
800,100.20752408386114
850,100.30930228922803
900,100.1834892501922
950,100.1679589078667
1000,100.13601288641115
