10,30,80
"[0.55654636 1.00004668 1.45536488 2.11487764 3.18865078 5.04760628
 8.46953031]","[0.55654636 1.00004668 1.45536488 2.11487764 3.18865078 5.04760628
 8.46953031]","[0.55654636 1.00004668 1.45536488 2.11487764 3.18865078 5.04760628
 8.46953031]"
"[0.48338196 0.86857909 1.26404049 1.83685274 2.7694661  4.3840406
 7.35611352]","[0.48338196 0.86857909 1.26404049 1.83685274 2.7694661  4.3840406
 7.35611352]","[0.48338196 0.86857909 1.26404049 1.83685274 2.7694661  4.3840406
 7.35611352]"
"[0.61460916 1.10437854 1.60719871 2.33551645 3.52131311 5.57420783
 9.35313089]","[0.61460916 1.10437854 1.60719871 2.33551645 3.52131311 5.57420783
 9.35313089]","[0.61460916 1.10437854 1.60719871 2.33551645 3.52131311 5.57420783
 9.35313089]"
"[0.59489316 1.06895126 1.55564149 2.26059558 3.40835315 5.39539321
 9.05309246]","[0.59489316 1.06895126 1.55564149 2.26059558 3.40835315 5.39539321
 9.05309246]","[0.59489316 1.06895126 1.55564149 2.26059558 3.40835315 5.39539321
 9.05309246]"
