wavelength,transmission
693.000,0.00769700
694.000,0.00199600
695.000,0.00712600
696.000,0.000000
697.000,0.0114950
698.000,0.00788600
699.000,0.0137820
700.000,0.00218500
701.000,0.0202300
702.000,0.0180500
703.000,0.0198530
704.000,0.0223190
705.000,0.0283070
706.000,0.0311580
707.000,0.0251710
708.000,0.0348590
709.000,0.0245090
710.000,0.0284920
711.000,0.0301090
712.000,0.0441940
713.000,0.0304880
714.000,0.0401570
715.000,0.0367410
716.000,0.0386400
717.000,0.0282060
718.000,0.0379740
719.000,0.0375060
720.000,0.0323780
721.000,0.0234560
722.000,0.0217440
723.000,0.0241990
724.000,0.0160420
725.000,0.0238270
726.000,0.0208880
727.000,0.0166150
728.000,0.0135720
729.000,0.0234420
730.000,0.0150940
731.000,0.0155670
732.000,0.0142440
733.000,0.0213520
734.000,0.0147080
735.000,0.0142370
736.000,0.0190720
737.000,0.0202190
738.000,0.0178520
739.000,0.0246030
740.000,0.0274370
741.000,0.0251530
742.000,0.0290440
743.000,0.0310250
744.000,0.0224990
745.000,0.0321810
746.000,0.0356880
747.000,0.0167040
748.000,0.0169770
749.000,0.00996300
750.000,0.00550600
751.000,0.00968400
752.000,0.0172890
753.000,0.00892800
754.000,0.0214590
755.000,0.0187020
756.000,0.0198430
757.000,0.0168040
758.000,0.0246770
759.000,0.0128230
760.000,0.0136750
761.000,0.0172860
762.000,0.0126300
763.000,0.0133840
764.000,0.0109200
765.000,0.0105450
766.000,0.00664900
767.000,0.0175710
768.000,0.00873900
769.000,0.0172870
770.000,0.0126340
771.000,0.0264980
772.000,0.00845900
773.000,0.0181440
774.000,0.0153000
775.000,0.0187220
776.000,0.0131190
777.000,0.0196730
778.000,0.0170990
779.000,0.0147290
780.000,0.0196660
781.000,0.00504100
782.000,0.0140720
783.000,0.0199760
784.000,0.0260640
785.000,0.00827100
786.000,0.0344320
787.000,0.0127450
788.000,0.0289110
789.000,0.0155990
790.000,0.0244520
791.000,0.0254990
792.000,0.0255000
793.000,0.0170250
794.000,0.0173130
795.000,0.0108450
796.000,0.00380800
797.000,0.0168540
798.000,0.000000
799.000,0.0146600
800.000,0.00761900
801.000,0.0140020
802.000,0.000000
803.000,0.0120020
804.000,0.000000
805.000,0.00857300
806.000,0.00572100
807.000,0.0122060
808.000,0.000000
809.000,0.000000
810.000,0.000000
811.000,0.00505500
812.000,0.000000
813.000,0.0155620
814.000,0.000000
815.000,0.0251910
816.000,0.00152700
817.000,0.0118480
818.000,0.000000
819.000,0.0150130
820.000,0.000000
821.000,0.000000
822.000,0.00938700
823.000,0.00719100
824.000,0.0251500
825.000,0.000000
826.000,0.0269020
827.000,0.00355500
828.000,0.0309710
829.000,0.0129920
830.000,0.0491530
831.000,0.0105950
832.000,0.0274710
833.000,0.00549600
834.000,0.0209480
835.000,0.00425200
836.000,0.00880700
837.000,0.00560900
838.000,0.000000
839.000,0.00747400
840.000,0.000000
841.000,0.0184610
842.000,0.000000
843.000,0.0340170
844.000,0.000000
845.000,0.0348470
846.000,0.000000
847.000,0.0305510
848.000,0.000195000
849.000,0.0454700
850.000,0.0308740
851.000,0.0678000
852.000,0.0846840
853.000,0.0949730
854.000,0.0933700
855.000,0.0838950
856.000,0.0716970
857.000,0.0557120
858.000,0.0431200
859.000,0.0363240
860.000,0.0319500
861.000,0.0271560
862.000,0.0242560
863.000,0.0234600
864.000,0.0250540
865.000,0.0273320
866.000,0.0301250
867.000,0.0365240
868.000,0.0433050
869.000,0.0531830
870.000,0.0656360
871.000,0.0759280
872.000,0.0853180
873.000,0.0884410
874.000,0.0847710
875.000,0.0728980
876.000,0.0574130
877.000,0.0454550
878.000,0.0305940
879.000,0.0262090
880.000,0.0237120
881.000,0.0215270
882.000,0.0186310
883.000,0.0187300
884.000,0.0177320
885.000,0.0157370
886.000,0.0157360
887.000,0.0133510
888.000,0.0146390
889.000,0.0149400
890.000,0.0147400
891.000,0.0148390
892.000,0.0147300
893.000,0.0144350
894.000,0.0153360
895.000,0.0168280
896.000,0.0148350
897.000,0.0148270
898.000,0.0149300
899.000,0.0163210
900.000,0.0161210
901.000,0.0163240
902.000,0.0160270
903.000,0.0186970
904.000,0.0207840
905.000,0.0212880
906.000,0.0238790
907.000,0.0254710
908.000,0.0333320
909.000,0.0350970
910.000,0.0400680
911.000,0.0450700
912.000,0.0477290
913.000,0.0500250
914.000,0.0435590
915.000,0.0398580
916.000,0.0361750
917.000,0.0323950
918.000,0.0295200
919.000,0.0274220
920.000,0.0248450
921.000,0.0226570
922.000,0.0224610
923.000,0.0229530
924.000,0.0211650
925.000,0.0200700
926.000,0.0214540
927.000,0.0206630
928.000,0.0216710
929.000,0.0227700
930.000,0.0219550
931.000,0.0254320
932.000,0.0314900
933.000,0.0235350
934.000,0.0231660
935.000,0.0262480
936.000,0.0266300
937.000,0.0285140
938.000,0.0302000
939.000,0.0295960
940.000,0.0330690
941.000,0.0316880
942.000,0.0323630
943.000,0.0329710
944.000,0.0328720
945.000,0.0302830
946.000,0.0383310
947.000,0.0307860
948.000,0.0305820
949.000,0.0295960
950.000,0.0291990
951.000,0.0288850
952.000,0.0278960
953.000,0.0280080
954.000,0.0281130
955.000,0.0282970
956.000,0.0237340
957.000,0.0270160
958.000,0.0340580
959.000,0.0280940
960.000,0.0289920
961.000,0.0285990
962.000,0.0233290
963.000,0.0296830
964.000,0.0368410
965.000,0.0315820
966.000,0.0328660
967.000,0.0332620
968.000,0.0343690
969.000,0.0360390
970.000,0.0360380
971.000,0.0358520
972.000,0.0308740
973.000,0.0306730
974.000,0.0330740
975.000,0.0328690
976.000,0.0303930
977.000,0.0308740
978.000,0.0291890
979.000,0.0288070
980.000,0.0283050
981.000,0.0276970
982.000,0.0268040
983.000,0.0257210
984.000,0.0224450
985.000,0.0170760
986.000,0.0229310
987.000,0.0218400
988.000,0.0231440
989.000,0.0298880
990.000,0.0256260
991.000,0.0224410
992.000,0.0202520
993.000,0.0232320
994.000,0.0239340
995.000,0.0251310
996.000,0.0288020
997.000,0.0316720
998.000,0.0285950
999.000,0.0302890
1000.00,0.0315740
1001.00,0.0316700
1002.00,0.0319850
1003.00,0.0300140
1004.00,0.0289980
1005.00,0.0330730
1006.00,0.0340650
1007.00,0.0344620
1008.00,0.0368370
1009.00,0.0401130
1010.00,0.0355650
1011.00,0.0360530
1012.00,0.0351520
1013.00,0.0341660
1014.00,0.0338630
1015.00,0.0334540
1016.00,0.0334610
1017.00,0.0331770
1018.00,0.0322760
1019.00,0.0322700
1020.00,0.0294830
1021.00,0.0290870
1022.00,0.0293940
1023.00,0.0289990
1024.00,0.0294900
1025.00,0.0298900
1026.00,0.0295850
1027.00,0.0291860
1028.00,0.0283020
1029.00,0.0302900
1030.00,0.0313840
1031.00,0.0302940
1032.00,0.0291940
1033.00,0.0305740
1034.00,0.0331620
1035.00,0.0342650
1036.00,0.0358540
1037.00,0.0363480
1038.00,0.0360470
1039.00,0.0367450
1040.00,0.0369460
1041.00,0.0368420
1042.00,0.0360520
1043.00,0.0361500
1044.00,0.0357360
1045.00,0.0348400
1046.00,0.0350720
1047.00,0.0341840
1048.00,0.0330700
1049.00,0.0352530
1050.00,0.0356490
1051.00,0.0328740
1052.00,0.0317740
1053.00,0.0308740
1054.00,0.0301990
1055.00,0.0301990
1056.00,0.0304890
1057.00,0.0298940
1058.00,0.0294950
1059.00,0.0288950
1060.00,0.0278900
1061.00,0.0265070
1062.00,0.0259230
1063.00,0.0259190
1064.00,0.0258140
1065.00,0.0268080
1066.00,0.0275070
1067.00,0.0272120
1068.00,0.0269110
1069.00,0.0225390
1070.00,0.0278970
1071.00,0.0296830
1072.00,0.0282980
1073.00,0.0282010
1074.00,0.0282050
1075.00,0.0289990
1076.00,0.0292950
1077.00,0.0290960
1078.00,0.0321670
1079.00,0.0344470
1080.00,0.0364450
1081.00,0.0385230
1082.00,0.0399120
1083.00,0.0416010
1084.00,0.0389070
1085.00,0.0444130
1086.00,0.0496650
1087.00,0.0552050
1088.00,0.0614580
1089.00,0.0685110
1090.00,0.0763600
1091.00,0.0865730
1092.00,0.0974880
1093.00,0.116963
1094.00,0.139374
1095.00,0.167925
1096.00,0.205140
1097.00,0.256633
1098.00,0.330355
1099.00,0.438530
1100.00,0.596942
