wavelength,nk,flux
356.95000000, 0.79091649, 2.74906787
357.00000000, 0.75647592, 2.73920471
357.05000000, 0.72015535, 2.72934156
357.10000000, 0.70447297, 2.71947840
357.15000000, 0.73269502, 2.70961525
357.20000000, 0.78168070, 2.69975210
357.25000000, 0.79234797, 2.68988894
357.30000000, 0.78824706, 2.68002579
357.35000000, 0.81184854, 2.67016263
357.40000000, 0.83540796, 2.66029948
357.45000000, 0.84279410, 2.65043632
357.50000000, 0.84342494, 2.64057317
357.55000000, 0.84859040, 2.63071001
357.60000000, 0.85678896, 2.62777725
357.65000000, 0.86494826, 2.63352309
357.70000000, 0.87376356, 2.63926893
357.75000000, 0.88299087, 2.64501477
357.80000000, 0.88323591, 2.65076061
357.85000000, 0.86400633, 2.65650645
357.90000000, 0.82642298, 2.66225229
357.95000000, 0.78699430, 2.66799813
358.00000000, 0.76452914, 2.67374397
358.05000000, 0.74833403, 2.67948981
358.10000000, 0.71466293, 2.68523564
358.15000000, 0.66303206, 2.69098148
358.20000000, 0.61502344, 2.69672732
358.25000000, 0.59814496, 2.70247316
358.30000000, 0.61388616, 2.70821900
358.35000000, 0.64335847, 2.71396484
358.40000000, 0.67284461, 2.71971068
358.45000000, 0.68729368, 2.72545652
358.50000000, 0.67916536, 2.73120236
358.55000000, 0.65443770, 2.73694820
358.60000000, 0.62582465, 2.74269404
358.65000000, 0.61648336, 2.74843988
358.70000000, 0.63117490, 2.75277350
358.75000000, 0.64766718, 2.75692470
358.80000000, 0.66290164, 2.76107590
358.85000000, 0.69289318, 2.76522710
358.90000000, 0.73391190, 2.76937829
358.95000000, 0.76769105, 2.77352949
359.00000000, 0.79063266, 2.77768069
359.05000000, 0.81731390, 2.78183189
359.10000000, 0.86217490, 2.78598309
359.15000000, 0.91907667, 2.79013428
359.20000000, 0.97040546, 2.79428548
359.25000000, 1.00538244, 2.79843668
359.30000000, 1.01704522, 2.80258788
359.35000000, 1.00641506, 2.80673908
359.40000000, 0.99038301, 2.81089027
359.45000000, 0.99056194, 2.81504147
359.50000000, 1.01316042, 2.81919267
359.55000000, 1.04458712, 2.82334387
359.60000000, 1.07148140, 2.82749507
359.65000000, 1.09447252, 2.83164626
359.70000000, 1.11944063, 2.83579746
359.75000000, 1.13949477, 2.83005850
359.80000000, 1.14298852, 2.80463384
359.85000000, 1.13663916, 2.77920919
359.90000000, 1.13353533, 2.75378454
359.95000000, 1.13418268, 2.72835989
360.00000000, 1.13724759, 2.70293523
360.05000000, 1.14579746, 2.67751058
360.10000000, 1.15722169, 2.65208593
360.15000000, 1.16322424, 2.62666128
360.20000000, 1.14628676, 2.60123662
360.25000000, 1.10113211, 2.57581197
360.30000000, 1.04793005, 2.55038732
360.35000000, 1.00639369, 2.52496267
360.40000000, 0.98345167, 2.49953801
360.45000000, 0.97148445, 2.47411336
360.50000000, 0.96123015, 2.44868871
360.55000000, 0.94479576, 2.42326405
360.60000000, 0.92221431, 2.39783940
360.65000000, 0.91144028, 2.37241475
360.70000000, 0.91647127, 2.34699010
360.75000000, 0.92374899, 2.32156544
360.80000000, 0.92394603, 2.29614079
360.85000000, 0.89979975, 2.28835662
360.90000000, 0.84735594, 2.28525603
360.95000000, 0.79895242, 2.28215545
361.00000000, 0.78265634, 2.27905487
361.05000000, 0.79390649, 2.27595428
361.10000000, 0.81321382, 2.27285370
361.15000000, 0.83391457, 2.26975311
361.20000000, 0.86440981, 2.26665253
361.25000000, 0.89970118, 2.26355195
361.30000000, 0.91402007, 2.26045136
361.35000000, 0.90274871, 2.25735078
