wavelength I/F_head I/F_neck I/F_body
3010.45 0.0341711 0.0492465 0.0343696
3019.89 0.0363907 0.0480788 0.0351666
3029.33 0.0347876 0.0480977 0.0340735
3038.76 0.0348390 0.0474126 0.0333757
3048.20 0.0342362 0.0475149 0.0339398
3057.64 0.0344222 0.0469155 0.0330655
3067.07 0.0345287 0.0473325 0.0336552
3076.51 0.0344296 0.0473594 0.0333596
3085.95 0.0341929 0.0457823 0.0331634
3095.38 0.0342691 0.0467793 0.0332010
3104.82 0.0344784 0.0465515 0.0331649
3114.26 0.0343630 0.0465236 0.0333419
3123.69 0.0337370 0.0460667 0.0333855
3133.13 0.0335973 0.0481529 0.0332430
3142.57 0.0334938 0.0451215 0.0339810
3152.01 0.0329360 0.0455979 0.0328754
3161.44 0.0327552 0.0452816 0.0326981
3170.88 0.0338002 0.0462990 0.0309803
3180.32 0.0336913 0.0461762 0.0300908
3189.75 0.0333166 0.0454800 0.0318638
3199.19 0.0330760 0.0453660 0.0332973
3208.63 0.0329598 0.0454005 0.0333449
3218.06 0.0330055 0.0453336 0.0331768
3227.50 0.0322825 0.0446461 0.0317046
3236.94 0.0322119 0.0448015 0.0314409
3246.37 0.0328510 0.0436899 0.0323005
3255.81 0.0327077 0.0436305 0.0320265
3265.25 0.0323200 0.0433705 0.0311483
3274.69 0.0314159 0.0449128 0.0316323
3284.12 0.0319461 0.0441765 0.0322686
3293.56 0.0326856 0.0453881 0.0330764
3303.00 0.0328477 0.0454514 0.0336146
3312.43 0.0327681 0.0450381 0.0338937
3321.87 0.0328678 0.0454948 0.0336185
3331.31 0.0324967 0.0453955 0.0329147
3340.74 0.0330728 0.0458697 0.0333000
3350.18 0.0335691 0.0456308 0.0335994
3359.62 0.0327372 0.0439553 0.0328136
3369.05 0.0321395 0.0435539 0.0322053
3378.49 0.0316884 0.0460245 0.0320424
3387.93 0.0315267 0.0446576 0.0322959
3397.36 0.0328248 0.0451955 0.0337482
3406.80 0.0332733 0.0452737 0.0335508
3416.24 0.0319452 0.0438492 0.0322340
3425.68 0.0330003 0.0458998 0.0333618
3435.11 0.0336761 0.0465904 0.0341486
3444.55 0.0324455 0.0474961 0.0332934
3453.99 0.0326604 0.0453550 0.0333137
3463.42 0.0341229 0.0469942 0.0344233
3472.86 0.0338523 0.0469947 0.0338337
3482.30 0.0335860 0.0469704 0.0339918
3491.73 0.0334464 0.0472613 0.0341397
3501.17 0.0344815 0.0486264 0.0348368
3510.61 0.0332012 0.0462691 0.0353364
3520.04 0.0346708 0.0482885 0.0351081
3529.48 0.0345082 0.0478429 0.0351246
3538.92 0.0354467 0.0491634 0.0361361
3548.35 0.0338190 0.0465191 0.0347035
3557.79 0.0339046 0.0469999 0.0348250
3567.23 0.0339092 0.0500673 0.0369299
3576.67 0.0339701 0.0484300 0.0360273
3586.10 0.0342482 0.0490725 0.0359163
3595.54 0.0342134 0.0492423 0.0378441
3604.98 0.0340774 0.0494139 0.0356590
3614.41 0.0342452 0.0482078 0.0353089
3623.85 0.0351860 0.0485781 0.0357558
3633.29 0.0347931 0.0489061 0.0354690
3642.72 0.0350752 0.0491895 0.0352312
3652.16 0.0353912 0.0495077 0.0361351
3661.60 0.0354999 0.0499984 0.0370121
3671.03 0.0353386 0.0502775 0.0369059
3680.47 0.0355740 0.0504318 0.0372167
3689.91 0.0356993 0.0506613 0.0394251
3699.35 0.0368465 0.0518019 0.0395334
3708.78 0.0367553 0.0513602 0.0395333
3718.22 0.0356751 0.0534223 0.0398169
3727.66 0.0362245 0.0525166 0.0404859
3737.09 0.0376251 0.0529986 0.0407613
3746.53 0.0377035 0.0534824 0.0397723
3755.97 0.0374198 0.0541803 0.0389852
3765.40 0.0375358 0.0545468 0.0388817
3774.84 0.0375140 0.0540663 0.0388247
3784.28 0.0373965 0.0538229 0.0386154
3793.71 0.0380173 0.0546912 0.0392608
3803.15 0.0381533 0.0545423 0.0397041
3812.59 0.0372375 0.0538206 0.0394087
3822.02 0.0369693 0.0537524 0.0394815
3831.46 0.0376816 0.0543593 0.0399484
3840.90 0.0379157 0.0552207 0.0400602
3850.34 0.0378959 0.0551938 0.0401219
3859.77 0.0391673 0.0542546 0.0403688
3869.21 0.0374860 0.0538975 0.0407416
3878.65 0.0386264 0.0534989 0.0402918
3888.08 0.0363106 0.0528266 0.0389762
3897.52 0.0388528 0.0533913 0.0403747
3906.96 0.0377176 0.0544022 0.0400905
3916.39 0.0385162 0.0548385 0.0411363
3925.83 0.0387342 0.0555596 0.0417740
3935.27 0.0392175 0.0564405 0.0405058
3944.70 0.0387880 0.0556859 0.0405909
3954.14 0.0375743 0.0540245 0.0406726
3963.58 0.0375579 0.0556101 0.0405261
3973.01 0.0377553 0.0557261 0.0407713
3982.45 0.0373215 0.0558375 0.0405616
3991.89 0.0402049 0.0579369 0.0409223
4001.33 0.0385083 0.0585147 0.0411434
4010.76 0.0385690 0.0588550 0.0435433
4020.20 0.0381200 0.0562368 0.0407520
4029.64 0.0389059 0.0590563 0.0409517
4039.07 0.0389227 0.0580989 0.0406342
4048.51 0.0393482 0.0579287 0.0429498
4057.95 0.0378237 0.0541911 0.0409790
4067.38 0.0375596 0.0535824 0.0412392
4076.82 0.0382678 0.0546830 0.0405156
4086.26 0.0392152 0.0563399 0.0399085
4095.69 0.0391448 0.0568833 0.0406534
4105.13 0.0386310 0.0568364 0.0413068
4114.57 0.0382545 0.0556945 0.0410328
4124.01 0.0380308 0.0560878 0.0406187
4133.44 0.0384466 0.0546572 0.0416519
4142.88 0.0380383 0.0554917 0.0421607
4152.32 0.0373226 0.0558485 0.0409129
4161.75 0.0377244 0.0573999 0.0431504
4171.19 0.0395503 0.0554882 0.0419514
4180.63 0.0420281 0.0595579 0.0445131
4190.06 0.0429212 0.0612953 0.0456825
4199.50 0.0423174 0.0608071 0.0458308
4208.94 0.0431849 0.0622744 0.0458628
4218.37 0.0418388 0.0602407 0.0452304
4227.81 0.0418549 0.0614204 0.0457719
4237.25 0.0446242 0.0632773 0.0445250
4246.68 0.0437421 0.0630747 0.0440855
4256.12 0.0431005 0.0611509 0.0440956
4265.56 0.0444196 0.0636092 0.0451216
4275.00 0.0450603 0.0649606 0.0452033
4284.43 0.0440533 0.0622317 0.0443717
4293.87 0.0433437 0.0599098 0.0440612
4303.31 0.0430607 0.0592346 0.0439723
4312.74 0.0432991 0.0615979 0.0452788
4322.18 0.0444112 0.0648490 0.0467088
4331.62 0.0451360 0.0639120 0.0461854
4341.05 0.0451254 0.0617796 0.0454722
4350.49 0.0463386 0.0640444 0.0463823
4359.93 0.0464431 0.0673153 0.0471535
4369.36 0.0458605 0.0671809 0.0439694
4378.80 0.0427853 0.0649070 0.0455843
4388.24 0.0423812 0.0642971 0.0456271
4397.68 0.0437791 0.0647012 0.0458545
4407.11 0.0447341 0.0648917 0.0445923
4416.55 0.0439795 0.0653587 0.0468576
4425.99 0.0415782 0.0630910 0.0453501
4435.42 0.0402248 0.0604326 0.0439675
4444.86 0.0415390 0.0644338 0.0457410
4454.30 0.0430274 0.0687323 0.0461452
4463.73 0.0444552 0.0675147 0.0454108
4473.17 0.0461392 0.0672911 0.0474504
4482.61 0.0453596 0.0684349 0.0485292
4492.04 0.0444139 0.0672832 0.0473689
4501.48 0.0443504 0.0658133 0.0444909
4510.92 0.0416708 0.0640992 0.0434060
4520.35 0.0394052 0.0614793 0.0431232
4529.79 0.0400804 0.0605311 0.0428795
4539.23 0.0410798 0.0609977 0.0436512
4548.67 0.0445124 0.0634710 0.0463955
4558.10 0.0461753 0.0690758 0.0458568
4567.54 0.0432065 0.0719123 0.0457618
4576.98 0.0459379 0.0680086 0.0447038
4586.41 0.0429605 0.0661146 0.0434294
4595.85 0.0425080 0.0671877 0.0429350
4605.29 0.0437337 0.0698419 0.0449669
4614.72 0.0431617 0.0736352 0.0447863
4624.16 0.0400466 0.0701198 0.0446672
4633.60 0.0410018 0.0629974 0.0416467
4643.03 0.0426123 0.0646657 0.0432804
4652.47 0.0429617 0.0645748 0.0409300
4661.91 0.0414385 0.0644888 0.0433378
4671.34 0.0399907 0.0682447 0.0435176
4680.78 0.0401896 0.0654616 0.0424725
4690.22 0.0407423 0.0652316 0.0430474
4699.66 0.0391215 0.0650338 0.0441071
4709.09 0.0408357 0.0578989 0.0437356
4718.53 0.0412866 0.0602446 0.0446171
4727.97 0.0419653 0.0652534 0.0463735
4737.40 0.0440721 0.0688066 0.0420312
4746.84 0.0436186 0.0648497 0.0403308
4756.28 0.0405991 0.0594748 0.0427189
4765.71 0.0389338 0.0581064 0.0430661
4775.15 0.0397060 0.0609044 0.0406810
4784.59 0.0420689 0.0634925 0.0411405
4794.02 0.0413241 0.0643527 0.0432769
4803.46 0.0413130 0.0646718 0.0452937
4812.90 0.0439545 0.0656121 0.0469873
4822.33 0.0409038 0.0653167 0.0437862
4831.77 0.0421371 0.0747264 0.0440946
4841.21 0.0412057 0.0696672 0.0466467
4850.65 0.0404763 0.0661883 0.0470752
4860.08 0.0426783 0.0597902 0.0463299
4869.52 0.0443681 0.0626204 0.0465603
4878.96 0.0425776 0.0634858 0.0451387
4888.39 0.0424899 0.0646240 0.0442822
4897.83 0.0488334 0.0658479 0.0449143
4907.27 0.0446980 0.0644791 0.0472237
4916.70 0.0412089 0.0566740 0.0437881
4926.14 0.0428495 0.0573298 0.0452557
4935.58 0.0448923 0.0581764 0.0437291
4945.01 0.0437706 0.0556507 0.0406626
4954.45 0.0433632 0.0546433 0.0415949
4963.89 0.0431205 0.0573291 0.0431985
4973.33 0.0447546 0.0622477 0.0458950
4982.76 0.0499267 0.0611793 0.0515679
4992.20 0.0488689 0.0606282 0.0496587
5001.64 0.0463071 0.0522679 0.0443269
5011.07 0.0474623 0.0630950 0.0460543
5020.51 0.0428812 0.0576959 0.0458714
5029.95 0.0479667 0.0569720 0.0456545
5039.38 0.0422964 0.0622240 0.0450925
5048.82 0.0482976 0.0649173 0.0473538
5058.26 0.0447484 0.0444858 0.0387229
5067.69 0.0517072 0.0445797 0.0416364
