wavelength I/F_head I/F_neck I/F_body
502.522 0.0139876 0.0239733 0.0152295
504.406 0.0139481 0.0246076 0.0155571
506.289 0.0137100 0.0242920 0.0151452
508.173 0.0139138 0.0243339 0.0155183
510.056 0.0139506 0.0245170 0.0157835
511.940 0.0139866 0.0245364 0.0156073
513.823 0.0140803 0.0244583 0.0157532
515.707 0.0139740 0.0243530 0.0157734
517.590 0.0139086 0.0241807 0.0160207
519.474 0.0141133 0.0244764 0.0157572
521.357 0.0141290 0.0243019 0.0157243
523.241 0.0141457 0.0246340 0.0158707
525.124 0.0142086 0.0244740 0.0158800
527.008 0.0142941 0.0245584 0.0161173
528.891 0.0142787 0.0246809 0.0158754
530.775 0.0142751 0.0248426 0.0158472
532.658 0.0141205 0.0243371 0.0160052
534.542 0.0140384 0.0248032 0.0161067
536.425 0.0142630 0.0244602 0.0158867
538.309 0.0140977 0.0247398 0.0161205
540.192 0.0143465 0.0248234 0.0160382
542.076 0.0143533 0.0245638 0.0161070
543.959 0.0144637 0.0248468 0.0163364
545.843 0.0146521 0.0249155 0.0159695
547.726 0.0146492 0.0246331 0.0159964
549.610 0.0145905 0.0254699 0.0162828
551.493 0.0143886 0.0250774 0.0160661
553.377 0.0144687 0.0253309 0.0163845
555.260 0.0144507 0.0255709 0.0164746
557.144 0.0144906 0.0250048 0.0163632
559.027 0.0146695 0.0253135 0.0165590
560.911 0.0144885 0.0256497 0.0164382
562.794 0.0144260 0.0255349 0.0167574
564.678 0.0144878 0.0252912 0.0163485
566.561 0.0148469 0.0254067 0.0167914
568.445 0.0148342 0.0254675 0.0164651
570.328 0.0149370 0.0249437 0.0163977
572.212 0.0148943 0.0255437 0.0167505
574.096 0.0149671 0.0258237 0.0166400
575.979 0.0150211 0.0259475 0.0167033
577.863 0.0150032 0.0261581 0.0169053
579.746 0.0150752 0.0262039 0.0165643
581.630 0.0151265 0.0259790 0.0165931
583.513 0.0151897 0.0262075 0.0166733
585.397 0.0152837 0.0263703 0.0167730
587.280 0.0149966 0.0260617 0.0168980
589.164 0.0153245 0.0260623 0.0170484
591.047 0.0152219 0.0264080 0.0170515
592.931 0.0152794 0.0266124 0.0171906
594.814 0.0154082 0.0263402 0.0172502
596.698 0.0156150 0.0265199 0.0172997
598.581 0.0155344 0.0266225 0.0173273
600.465 0.0155952 0.0266465 0.0171758
602.348 0.0155054 0.0267866 0.0173763
604.232 0.0156095 0.0267352 0.0173608
606.115 0.0158352 0.0268364 0.0175533
607.999 0.0157910 0.0268630 0.0176056
609.882 0.0157706 0.0273309 0.0176613
611.766 0.0158173 0.0270632 0.0177466
613.649 0.0160163 0.0272639 0.0178142
615.533 0.0158387 0.0271181 0.0177428
617.416 0.0159507 0.0271316 0.0176554
619.300 0.0161124 0.0271175 0.0177947
621.183 0.0162084 0.0272063 0.0179222
623.067 0.0160915 0.0271891 0.0178894
624.950 0.0162510 0.0278379 0.0180882
626.834 0.0160230 0.0278976 0.0184374
628.717 0.0161534 0.0274141 0.0180708
630.601 0.0162785 0.0271267 0.0184009
632.484 0.0161775 0.0273973 0.0185070
