alpha,texp10,texp80
-81.87792183326727,39.77272727272727,4.971590909090909
-81.86186295612646,39.616818338039565,4.952102292254946
-81.84574088051258,39.46122184610674,4.932652730763342
-81.82955523518922,39.30593779692879,4.9132422246160985
-81.81330564602722,39.15096619050573,4.893870773813216
-81.79699173597658,38.996307026837556,4.8745383783546945
-81.78061312503816,38.84196030592427,4.855245038240533
-81.76416943023499,38.687926027765855,4.835990753470732
-81.74766026558324,38.534204192362346,4.816775524045293
-81.73108524206286,38.380794799713726,4.797599349964216
-81.71444396758794,38.227697849819975,4.778462231227497
-81.69773604697664,38.07491334268111,4.759364167835138
-81.68096108192081,37.92244127829713,4.740305159787141
-81.66411867095523,37.77028165666804,4.721285207083505
-81.64720840942653,37.61843447779384,4.70230430972423
-81.63022988946167,37.46689974167452,4.683362467709315
-81.61318269993622,37.31567744831008,4.66445968103876
-81.596066426442,37.16476759770053,4.6455959497125665
-81.57888065125455,37.01417018984586,4.626771273730733
-81.56162495330018,36.863885224746085,4.607985653093261
-81.54429890812254,36.713912702401196,4.589239087800149
-81.52690208784885,36.564252622811175,4.570531577851397
-81.50943406115579,36.41490498597606,4.551863123247007
-81.49189439323483,36.26586979189582,4.533233723986977
-81.47428264575731,36.117147040570465,4.514643380071308
-81.45659837683901,35.968736731999996,4.4960920914999996
-81.43884114100427,35.82063886618441,4.477579858273051
-81.42101048914981,35.672853443123714,4.459106680390464
-81.40310596850792,35.52538046281789,4.440672557852237
-81.38512712260939,35.378219925266976,4.422277490658372
-81.36707349124589,35.231371830470934,4.403921478808867
-81.34894461043191,35.08483617842977,4.385604522303721
-81.33074001236626,34.9386129691435,4.367326621142937
-81.31245922539308,34.792702202612105,4.349087775326513
-81.29410177396238,34.64710387883561,4.330887984854451
-81.27566717859011,34.501817997813994,4.312727249726749
-81.25715495581774,34.356844559547255,4.294605569943407
-81.23856461817132,34.21218356403541,4.276522945504427
-81.2198956741201,34.06783501127846,4.258479376409808
-81.20114762803452,33.92379890127637,4.240474862659546
-81.18231998014384,33.78007523402919,4.222509404253649
-81.16341222649314,33.63666400953688,4.20458300119211
-81.14442385889977,33.49356522779946,4.186695653474932
-81.12535436490941,33.35077888881693,4.168847361102117
-81.10620322775137,33.20830499258928,4.15103812407366
-81.08696992629349,33.06614353911651,4.133267942389564
-81.06765393499647,32.92429452839863,4.115536816049829
-81.04825472386754,32.78275796043563,4.097844745054454
-81.02877175841363,32.64153383522753,4.080191729403441
-81.00920449959388,32.500622152774305,4.062577769096788
-80.98955240377168,32.360022913075966,4.045002864134496
-80.96981492266596,32.219736116132516,4.0274670145165645
-80.94999150330196,32.07976176194394,4.009970220242993
-80.93008158796134,31.940099850510258,3.9925124813137822
-80.91008461413168,31.800750381831463,3.975093797728933
-80.8900000144553,31.661713355907548,3.9577141694884435
-80.86982721667749,31.52298877273853,3.940373596592316
-80.84956564359405,31.384576632324375,3.923072079040547
-80.82921471299811,31.246476934665125,3.9058096168331407
-80.80877383762638,31.108689679760754,3.8885862099700943
-80.78824242510458,30.971214867611256,3.871401858451407
-80.76761987789236,30.834052498216657,3.854256562277082
-80.74690559322724,30.69720257157694,3.8371503214471177
-80.72609896306808,30.56066508769211,3.820083135961514
-80.70519937403772,30.424440046562168,3.803055005820271
-80.68420620736481,30.2885274481871,3.7860659310233875
-80.66311883882503,30.152927292566925,3.7691159115708657
-80.6419366386814,30.017639579701644,3.7522049474627055
-80.62065897162395,29.882664309591235,3.7353330386989043
-80.5992851967085,29.748001482235725,3.7185001852794657
-80.57781466729465,29.613651097635085,3.7017063872043856
-80.55624673098306,29.47961315578933,3.6849516444736663
-80.53458072955176,29.345887656698466,3.668235957087308
