wavelengths,i_f,std
269,0.00674,0.0002
360,0.00714,0.00019
481,0.0099,0.0003
536,0.01093,0.00033
649,0.01343,0.00045
701,0.01528,0.00045
744,0.0157,0.00044
805,0.01628,0.0005
882,0.01753,0.00054
932,0.01884,0.00062
989,0.02046,0.00065
