wavelengths,i_f,std
269,0.00597,0.00029
360,0.00623,0.00029
481,0.00879,0.00043
536,0.00983,0.00049
649,0.01204,0.0006
701,0.01354,0.00064
744,0.01381,0.0006
805,0.01469,0.00084
882,0.01575,0.00085
932,0.01708,0.00096
989,0.01832,0.00079
