wavelengths,i_f,std
269,0.00618,0.00019
360,0.00649,0.00018
481,0.00926,0.0003
536,0.01029,0.00033
649,0.01274,0.00045
701,0.01449,0.00046
744,0.0149,0.00047
805,0.01549,0.00056
882,0.0167,0.00063
932,0.01765,0.00067
989,0.01854,0.00063
