wavelengths,i_f,std
269,0.00799,0.00018
360,0.00841,0.00053
481,0.012,0.00026
536,0.01325,0.00025
649,0.01623,0.00038
701,0.01849,0.00042
744,0.01907,0.00041
805,0.0197,0.00045
882,0.02107,0.00047
932,0.02252,0.00048
989,0.02283,0.00205
