wavelengths,i_f,std
269,0.01327,0.00158
360,0.0143,0.00138
481,0.02013,0.00183
536,0.02146,0.0017
649,0.0248,0.00195
701,0.02677,0.00215
744,0.02723,0.0022
805,0.02782,0.00183
882,0.02899,0.00187
932,0.03046,0.00203
989,0.03163,0.00141
