wavelengths,i_f,std
269,0.02577,0.00815
360,0.03102,0.01006
481,0.03416,0.00979
536,0.0348,0.00841
649,0.0362,0.00727
701,0.03623,0.00872
744,0.03799,0.00695
805,0.03872,0.00617
882,0.03986,0.00738
932,0.04321,0.00856
989,0.04587,0.01182
