wavelengths,i_f,std
360,0.04798,0.00242
481,0.04744,0.0077
536,0.05052,0.00299
649,0.04852,0.00088
701,0.04594,0.00286
744,0.05279,0.00495
805,0.05021,0.00261
882,0.05027,0.00846
932,0.05381,0.003
989,0.05178,0.00094
