wavelengths,i_f,std
360,0.04919,0.00292
481,0.05631,0.00524
536,0.05324,0.00275
649,0.05289,0.00837
701,0.05708,0.00302
744,0.05537,0.00095
805,0.05277,0.00273
882,0.05997,0.00515
932,0.0568,0.00286
989,0.05656,0.00765
