wavelengths,i_f,std
360,0.05109,0.00219
481,0.04822,0.00177
536,0.05154,0.00352
649,0.04727,0.01039
701,0.05711,0.00973
744,0.054,0.00229
805,0.05081,0.0019
882,0.05436,0.00392
932,0.05034,0.01091
989,0.06095,0.01021
