wavelengths,i_f,std
360,0.04302,0.00657
481,0.05224,0.00926
536,0.04244,0.00434
649,0.04549,0.00492
701,0.03844,0.0049
744,0.04439,0.00705
805,0.05444,0.00956
882,0.04446,0.00444
932,0.04761,0.00505
989,0.04018,0.00505
