wavelengths,i_f,std
360,0.03126,0.00157
481,0.02928,0.00372
536,0.03145,0.00181
649,0.03248,0.00059
701,0.03039,0.00169
744,0.03275,0.00222
805,0.03403,0.00172
882,0.03267,0.00447
932,0.03879,0.00227
989,0.03895,0.00073
