wavelengths,i_f,std
360,0.03654,0.00233
481,0.0409,0.00339
536,0.04062,0.00216
649,0.03979,0.00656
701,0.04384,0.00232
744,0.04348,0.00074
805,0.04088,0.00241
882,0.04628,0.00374
932,0.04524,0.00233
989,0.04418,0.00681
