wavelengths,i_f,std
360,0.02108,0.00132
481,0.02198,0.0004
536,0.02039,0.0011
649,0.0214,0.00141
701,0.02288,0.00116
744,0.02147,0.00269
805,0.02853,0.00162
882,0.02953,0.00057
932,0.02748,0.00151
989,0.02944,0.00209
