wavelengths,i_f,std
360,0.02181,0.00341
481,0.02369,0.00412
536,0.02088,0.00215
649,0.02246,0.00249
701,0.01954,0.00236
744,0.02974,0.00476
805,0.03376,0.00585
882,0.02932,0.003
932,0.03204,0.0034
989,0.02787,0.00349
