wavelengths,i_f,std
360,0.02096,0.00079
481,0.02246,0.00061
536,0.02194,0.00109
649,0.02288,0.00096
701,0.02213,0.00046
744,0.03036,0.00118
805,0.0302,0.00084
882,0.03249,0.00172
932,0.03204,0.00138
989,0.0299,0.00061
