wavelengths,i_f,std
360,0.03279,0.00525
481,0.03749,0.00651
536,0.03218,0.00337
649,0.03515,0.00376
701,0.03056,0.00382
744,0.0386,0.00653
805,0.04563,0.00862
882,0.03776,0.00445
932,0.04057,0.00457
989,0.03505,0.00459
