wavelengths,i_f,std
360,0.02258,0.00102
481,0.02195,0.00084
536,0.02328,0.00216
649,0.01949,0.00397
701,0.02358,0.0034
744,0.03322,0.00149
805,0.03252,0.00134
882,0.03531,0.00313
932,0.02859,0.00574
989,0.03457,0.0052
