wavelengths,i_f,std
360,0.04743,0.00204
481,0.04514,0.0017
536,0.04856,0.00369
649,0.043,0.0087
701,0.05217,0.00836
744,0.04987,0.00218
805,0.04735,0.00176
882,0.0506,0.00385
932,0.0457,0.00936
989,0.0552,0.00898
