wavelengths,i_f,std
360,0.05253,0.00196
481,0.05277,0.00116
536,0.05489,0.0021
649,0.05488,0.00216
701,0.05202,0.00109
744,0.05622,0.00204
805,0.05654,0.00105
882,0.05894,0.00195
932,0.05878,0.00199
989,0.05574,0.00109
