wavelengths,i_f,std
360,0.04333,0.00161
481,0.04411,0.00111
536,0.04546,0.00197
649,0.04557,0.00195
701,0.0438,0.00094
744,0.04543,0.00171
805,0.04615,0.00107
882,0.04755,0.00206
932,0.04781,0.00203
989,0.04575,0.00102
