wavelengths,i_f,std
360,0.0363,0.00161
481,0.0354,0.00137
536,0.03832,0.00349
649,0.03175,0.00606
701,0.03806,0.00585
744,0.04214,0.00204
805,0.04057,0.00168
882,0.04351,0.00387
932,0.03767,0.00747
989,0.04636,0.00775
