wavelengths,i_f,std
360,0.04602,0.00721
481,0.05741,0.01033
536,0.04541,0.00471
649,0.04842,0.00527
701,0.04103,0.00523
744,0.04876,0.0076
805,0.05994,0.01102
882,0.04796,0.00485
932,0.05104,0.00551
989,0.04289,0.00533
