wavelengths,i_f,std
360,0.0332,0.00128
481,0.03318,0.00093
536,0.03549,0.00174
649,0.03501,0.00155
701,0.03281,0.00067
744,0.03857,0.00152
805,0.03949,0.00099
882,0.04052,0.002
932,0.04078,0.00188
989,0.03921,0.00095
