wavelengths,i_f,std
360,0.05167,0.00768
481,0.06404,0.01109
536,0.05126,0.00482
649,0.05449,0.00584
701,0.0455,0.00569
744,0.05444,0.00742
805,0.06741,0.01085
882,0.05472,0.0047
932,0.05898,0.00618
989,0.04863,0.00592
