wavelengths,i_f,std
360,0.04629,0.00247
481,0.04562,0.00081
536,0.04274,0.0025
649,0.04901,0.00412
701,0.04726,0.00238
744,0.04647,0.00724
805,0.04759,0.00274
882,0.04609,0.00083
932,0.04373,0.00264
989,0.05,0.00475
