wavelengths,i_f,std
360,0.04625,0.00171
481,0.04691,0.00106
536,0.04851,0.00208
649,0.04871,0.00211
701,0.04646,0.00102
744,0.04893,0.00182
805,0.04935,0.0011
882,0.05104,0.00214
932,0.05123,0.00225
989,0.04891,0.00109
